Cell	Primer	Replicate	Sample_Group	Construct	CQ
G04	6K2	Std-15	HCPro_4	HCPro	29.80
G05	6K2	Std-15	HCPro_4	HCPro	28.06
G06	6K2	Std-15	HCPro_4	HCPro	28.13
G07	6K2	Std-23	GFP_TA	GFP	28.06
G08	6K2	Std-23	GFP_TA	GFP	28.72
G09	6K2	Std-23	GFP_TA	GFP	27.68
G10	6K2	Std-31	HCPro_TA	HCPro	29.47
G11	6K2	Std-31	HCPro_TA	HCPro	30.10
G12	6K2	Std-31	HCPro_TA	HCPro	29.59
H01	6K2	Std-08	6K2_4	6K2	29.69
H02	6K2	Std-08	6K2_4	6K2	28.65
H03	6K2	Std-08	6K2_4	6K2	30.96
H04	6K2	Std-16	HX6_4	HX6	27.91
H05	6K2	Std-16	HX6_4	HX6	28.20
H06	6K2	Std-16	HX6_4	HX6	28.86
H07	6K2	Std-24	6K2_TA	6K2	29.43
H08	6K2	Std-24	6K2_TA	6K2	29.47
H10	6K2	Std-32	HX6_TA	HX6	27.77
H11	6K2	Std-32	HX6_TA	HX6	28.03
H12	6K2	Std-32	HX6_TA	HX6	28.04
E01	CP	Std-05	GFP_4	GFP	29.14
E03	CP	Std-05	GFP_4	GFP	28.67
E04	CP	Std-13	HCPro_4	HCPro	17.78
E06	CP	Std-13	HCPro_4	HCPro	17.34
E07	CP	Std-21	GFP_TA	GFP	20.32
E08	CP	Std-21	GFP_TA	GFP	19.91
E09	CP	Std-21	GFP_TA	GFP	19.81
E10	CP	Std-29	HCPro_TA	HCPro	18.26
E11	CP	Std-29	HCPro_TA	HCPro	18.74
E12	CP	Std-29	HCPro_TA	HCPro	19.33
F01	CP	Std-06	6K2_4	6K2	8.99
F02	CP	Std-06	6K2_4	6K2	8.59
F03	CP	Std-06	6K2_4	6K2	8.79
F04	CP	Std-14	HX6_4	HX6	9.35
F05	CP	Std-14	HX6_4	HX6	9.51
F06	CP	Std-14	HX6_4	HX6	9.84
F07	CP	Std-22	6K2_TA	6K2	8.66
F08	CP	Std-22	6K2_TA	6K2	9.07
F09	CP	Std-22	6K2_TA	6K2	9.36
F10	CP	Std-30	HX6_TA	HX6	9.10
F11	CP	Std-30	HX6_TA	HX6	8.19
F12	CP	Std-30	HX6_TA	HX6	8.77
B03	GFP	Std-03	6K2_4	6K2	21.54
C04	GFP	Std-11	HCPro_4	HCPro	31.60
C05	GFP	Std-11	HCPro_4	HCPro	27.89
C07	GFP	Std-19	GFP_TA	GFP	33.82
C08	GFP	Std-19	GFP_TA	GFP	33.32
C10	GFP	Std-27	HCPro_TA	HCPro	23.41
C11	GFP	Std-27	HCPro_TA	HCPro	23.05
C12	GFP	Std-27	HCPro_TA	HCPro	22.83
D01	GFP	Std-03	6K2_4	6K2	33.20
D03	GFP	Std-03	6K2_4	6K2	20.49
D04	GFP	Std-12	HX6_4	HX6	22.83
D05	GFP	Std-12	HX6_4	HX6	23.10
D06	GFP	Std-12	HX6_4	HX6	23.20
D07	GFP	Std-20	6K2_TA	6K2	34.54
D08	GFP	Std-20	6K2_TA	6K2	35.29
