Construct,Group,FW(g),RFW(g)
Mock,0,1.285,0.99483871
Mock,0,1.2,0.929032258
Mock,0,1.39,1.076129032
GFP,1,1.46,1.130322581
GFP,2,1.19,0.921290323
GFP,3,0.366,0.283354839
GFP,4,0.54,0.418064516
GFP,5,0.36,0.278709677
Hcpro,1,0.76,0.588387097
Hcpro,2,1.145,0.886451613
Hcpro,3,1.318,1.020387097
Hcpro,4,1.39,1.076129032
Hcpro,5,1.56,1.207741935
6K2,1,0.16,0.123870968
6K2,2,0.177,0.137032258
6K2,3,0.193,0.149419355
6K2,4,0.26,0.201290323
6K2,5,0.158,0.122322581
HCproX6K2,1,0.23,0.178064516
HCproX6K2,2,0.276,0.213677419
HCproX6K2,3,0.507,0.392516129
HCproX6K2,4,0.28,0.216774194
HCproX6K2,5,0.135,0.104516129
