Cell,Primer,Samples,Replicate,Genotype,Cq
A01,PP2A,Std-01,DHC_1,DHCpro,23.05
B01,PP2A,Std-06,6K2_1,6K2,22.93
C01,GFP,Std-11,DHC_1,DHCpro,30.2
D01,GFP,Std-16,6K2_1,6K2,23.51
E01,TuMV CP,Std-21,DHC_1,DHCpro,23.3
F01,TuMV CP,Std-26,6K2_1,6K2,13.25
G01,6K2-GFP,Std-31,DHC_1,DHCpro,N/A
H01,6K2-GFP,Std-36,6K2_1,6K2,33.08
A02,PP2A,Std-01,DHC_1,DHCpro,22.96
B02,PP2A,Std-06,6K2_1,6K2,22.71
C02,GFP,Std-11,DHC_1,DHCpro,29.83
D02,GFP,Std-16,6K2_1,6K2,23.21
E02,TuMV CP,Std-21,DHC_1,DHCpro,23.26
F02,TuMV CP,Std-26,6K2_1,6K2,13.22
G02,6K2-GFP,Std-31,DHC_1,DHCpro,37.3
H02,6K2-GFP,Std-36,6K2_1,6K2,33.83
A03,PP2A,Std-02,6K2_2,6K2,24.64
B03,PP2A,Std-07,6DH_1,6K2xDHC,22.97
C03,GFP,Std-12,6K2_2,6K2,24.94
D03,GFP,Std-17,6DH_1,6K2xDHC,27.94
E03,TuMV CP,Std-22,6K2_2,6K2,15.2
F03,TuMV CP,Std-27,6DH_1,6K2xDHC,11.86
G03,6K2-GFP,Std-32,6K2_2,6K2,33.64
H03,6K2-GFP,Std-37,6DH_1,6K2xDHC,36.63
A04,PP2A,Std-02,6K2_2,6K2,24.31
B04,PP2A,Std-07,6DH_1,6K2xDHC,22.88
C04,GFP,Std-12,6K2_2,6K2,24.51
D04,GFP,Std-17,6DH_1,6K2xDHC,27.95
E04,TuMV CP,Std-22,6K2_2,6K2,15.03
F04,TuMV CP,Std-27,6DH_1,6K2xDHC,12.09
G04,6K2-GFP,Std-32,6K2_2,6K2,31.95
H04,6K2-GFP,Std-37,6DH_1,6K2xDHC,N/A
A05,PP2A,Std-03,6DH_2,6K2xDHC,23.87
B05,PP2A,Std-08,DHC_2,DHCpro,22.78
C05,GFP,Std-13,6DH_2,6K2xDHC,27.88
D05,GFP,Std-18,DHC_2,DHCpro,30.35
E05,TuMV CP,Std-23,6DH_2,6K2xDHC,14.41
F05,TuMV CP,Std-28,DHC_2,DHCpro,23.31
G05,6K2-GFP,Std-33,6DH_2,6K2xDHC,34.26
H05,6K2-GFP,Std-38,DHC_2,DHCpro,N/A
A06,PP2A,Std-03,6DH_2,6K2xDHC,23.82
B06,PP2A,Std-08,DHC_2,DHCpro,22.81
C06,GFP,Std-13,6DH_2,6K2xDHC,27.96
D06,GFP,Std-18,DHC_2,DHCpro,30.62
E06,TuMV CP,Std-23,6DH_2,6K2xDHC,14.4
F06,TuMV CP,Std-28,DHC_2,DHCpro,23.36
G06,6K2-GFP,Std-33,6DH_2,6K2xDHC,34.69
H06,6K2-GFP,Std-38,DHC_2,DHCpro,N/A
A07,PP2A,Std-04,DHC_3,DHCpro,23.03
B07,PP2A,Std-09,6K2_3,6K2,20.89
C07,GFP,Std-14,DHC_3,DHCpro,31.36
D07,GFP,Std-19,6K2_3,6K2,21.38
E07,TuMV CP,Std-24,DHC_3,DHCpro,23.24
F07,TuMV CP,Std-29,6K2_3,6K2,N/A
G07,6K2-GFP,Std-34,DHC_3,DHCpro,N/A
H07,6K2-GFP,Std-39,6K2_3,6K2,29.96
A08,PP2A,Std-04,DHC_3,DHCpro,23.04
B08,PP2A,Std-09,6K2_3,6K2,20.88
C08,GFP,Std-14,DHC_3,DHCpro,31.26
D08,GFP,Std-19,6K2_3,6K2,21.46
E08,TuMV CP,Std-24,DHC_3,DHCpro,23.28
F08,TuMV CP,Std-29,6K2_3,6K2,10.6
G08,6K2-GFP,Std-34,DHC_3,DHCpro,N/A
H08,6K2-GFP,Std-39,6K2_3,6K2,29.48
A09,PP2A,Std-05,6DH_3,6K2xDHC,21.43
B09,PP2A,Std-10,6DH_4,6K2xDHC,20.51
C09,GFP,Std-15,6DH_3,6K2xDHC,26.39
D09,GFP,Std-20,6DH_4,6K2xDHC,24.96
E09,TuMV CP,Std-25,6DH_3,6K2xDHC,9.1
F09,TuMV CP,Std-30,6DH_4,6K2xDHC,9.24
G09,6K2-GFP,Std-35,6DH_3,6K2xDHC,34.02
H09,6K2-GFP,Std-40,6DH_4,6K2xDHC,32.22
A10,PP2A,Std-05,6DH_3,6K2xDHC,21.47
B10,PP2A,Std-10,6DH_4,6K2xDHC,20.66
C10,GFP,Std-15,6DH_3,6K2xDHC,26.38
D10,GFP,Std-20,6DH_4,6K2xDHC,24.97
E10,TuMV CP,Std-25,6DH_3,6K2xDHC,9.63
F10,TuMV CP,Std-30,6DH_4,6K2xDHC,9.57
G10,6K2-GFP,Std-35,6DH_3,6K2xDHC,33.15
H10,6K2-GFP,Std-40,6DH_4,6K2xDHC,31.73
