"","Primer","Construct","Sample_Group","Avg_Ct","Sd_Ct"
"1","6K2","6K2","6K2_4",29.7666666666667,1.15690679543917
"2","6K2","6K2","6K2_5",29.715,0.261629509039021
"3","6K2","6K2","6K2_ERV",30.0333333333333,0.865698176810678
"4","6K2","6K2","6K2_FEM",35.06,1.90213038459513
"5","6K2","6K2","6K2_TA",29.45,0.0282842712474613
"6","6K2","GFP","GFP_5",30.0433333333333,0.381094913811945
"7","6K2","GFP","GFP_ERV",31.485,0.643467170879758
"8","6K2","GFP","GFP_FEM",34.2633333333333,1.70277224940194
"9","6K2","GFP","GFP_TA",28.1533333333333,0.52624455658309
"10","6K2","HCPro","HCPro_4",28.6633333333333,0.985004230109361
"11","6K2","HCPro","HCPro_5",29.0533333333333,0.362950869035098
"12","6K2","HCPro","HCPro_ERV",28.8633333333333,0.342685472895092
"13","6K2","HCPro","HCPro_FEM",30.0966666666667,0.390170902725118
"14","6K2","HCPro","HCPro_TA",29.72,0.334514573673556
"15","6K2","HX6","HX6_4",28.3233333333333,0.486860691916418
"16","6K2","HX6","HX6_5",28.365,0.0919238815542505
"17","6K2","HX6","HX6_ERV",27.5533333333333,0.318799832705936
"18","6K2","HX6","HX6_FEM",27.95,0.425323406362736
"19","6K2","HX6","HX6_TA",27.9466666666667,0.153079500042734
"20","CP","6K2","6K2_4",8.79,0.2
"21","CP","6K2","6K2_5",13.1366666666667,0.0896288643983252
"22","CP","6K2","6K2_ERV",11.6,0.0360555127546401
"23","CP","6K2","6K2_FEM",11.55,0.407308237088326
"24","CP","6K2","6K2_TA",9.03,0.351710107901379
"25","CP","GFP","GFP_4",28.905,0.332340187157677
"26","CP","GFP","GFP_5",21.655,0.869741340859454
"27","CP","GFP","GFP_ERV",21.085,0.0919238815542505
"28","CP","GFP","GFP_FEM",21.2,0.367559518989782
"29","CP","GFP","GFP_TA",20.0133333333333,0.270246800782791
"30","CP","HCPro","HCPro_4",17.56,0.311126983722082
"31","CP","HCPro","HCPro_5",19.7133333333333,0.165025250593153
"32","CP","HCPro","HCPro_ERV",18.6833333333333,0.21733231083604
"33","CP","HCPro","HCPro_FEM",17.9266666666667,0.10785793124909
"34","CP","HCPro","HCPro_TA",18.7766666666667,0.535941539100424
"35","CP","HX6","HX6_4",9.56666666666667,0.249866631092136
"36","CP","HX6","HX6_5",10.3733333333333,0.793872365896013
"37","CP","HX6","HX6_ERV",12.58,0.417971290880128
"38","CP","HX6","HX6_FEM",11.8166666666667,1.76194021843346
"39","CP","HX6","HX6_TA",8.68666666666667,0.460687891455086
"40","GFP","6K2","6K2_4",25.0766666666667,7.05457534748431
"41","GFP","6K2","6K2_5",35.15,0.0141421356237281
"42","GFP","6K2","6K2_ERV",22.5333333333333,0.128970280814354
"43","GFP","6K2","6K2_FEM",24.5633333333333,0.130128141972955
"44","GFP","6K2","6K2_TA",34.915,0.530330085889911
"45","GFP","GFP","GFP_5",34.415,0.219203102167831
"46","GFP","GFP","GFP_ERV",32.5366666666667,0.820386087969153
"47","GFP","GFP","GFP_FEM",37.04,NA
"48","GFP","GFP","GFP_TA",33.57,0.353553390593274
"49","GFP","HCPro","HCPro_4",29.745,2.62336615820209
"50","GFP","HCPro","HCPro_5",23.7366666666667,0.578475006662632
"51","GFP","HCPro","HCPro_ERV",22.44,0.555067563455116
"52","GFP","HCPro","HCPro_FEM",21.8833333333333,0.185022521151705
"53","GFP","HCPro","HCPro_TA",23.0966666666667,0.292802550079971
"54","GFP","HX6","HX6_4",23.0433333333333,0.191398362932742
"55","GFP","HX6","HX6_5",20.5233333333333,0.647327840690737
"56","GFP","HX6","HX6_ERV",18.8266666666667,0.397030645332741
"57","GFP","HX6","HX6_FEM",22.0833333333333,4.59754644710995
"58","GFP","HX6","HX6_TA",19.23,0.374699879903903
"59","PP2A","6K2","6K2_4",25.39,6.6598873864353
"60","PP2A","6K2","6K2_5",22.505,0.615182899632297
"61","PP2A","6K2","6K2_ERV",30.8666666666667,0.615169353376232
"62","PP2A","6K2","6K2_TA",20.5333333333333,0.289194283023253
"63","PP2A","GFP","GFP_5",22.39,0.254558441227157
"64","PP2A","GFP","GFP_ERV",22.05,0.0655743852430194
"65","PP2A","GFP","GFP_FEM",22.4666666666667,0.162583311976762
"66","PP2A","GFP","GFP_TA",20.6833333333333,0.658963833099611
"67","PP2A","HCPro","HCPro_4",24.7266666666667,3.5610719359953
"68","PP2A","HCPro","HCPro_5",21.4133333333333,0.712343550074915
"69","PP2A","HCPro","HCPro_ERV",21.72,0.23895606290697
"70","PP2A","HCPro","HCPro_FEM",21.4566666666667,0.0757187779440033
"71","PP2A","HCPro","HCPro_TA",20.06,0.0699999999999995
"72","PP2A","HX6","HX6_4",20.13,0.226274169979695
"73","PP2A","HX6","HX6_5",26.21,0.113137084989848
"74","PP2A","HX6","HX6_ERV",21.235,0.0919238815542505
"75","PP2A","HX6","HX6_FEM",28.87,NA
"76","PP2A","HX6","HX6_TA",19.98,0.37
